birthrate,deathrate,lifeexpM,lifeexpF,infantdeaths,GNIpercapita,region,country
18.01,6.27,74.30,78.35,14.70,10268.51,6,Tunisia
16.26,5.39,74.15,80.09,9.70,27570.78,3,Turkey
24.62,7.06,64.50,71.45,40.60,13615.49,3,Turkmenistan
38.95,6.77,60.27,64.64,35.20,2026.04,7,Uganda
9.40,14.50,67.02,76.78,7.70,12144.01,3,Ukraine
10.46,1.43,76.97,79.01,6.60,67667.53,6,United Arab Emirates
11.40,9.20,79.50,83.10,3.70,45426.74,3,United Kingdom
11.80,8.64,76.10,81.10,5.70,61018.95,4,United States
13.96,9.46,73.81,81.24,6.80,20055.80,5,Uruguay
22.10,5.00,69.25,73.51,20.20,6652.23,3,Uzbekistan
30.02,5.33,68.70,71.83,22.90,3082.56,1,Vanuatu
16.98,6.25,71.12,79.37,16.90,6616.51,1,Vietnam
29.91,3.47,72.11,75.45,17.70,6545.43,6,West Bank and Gaza
36.70,6.63,60.16,65.88,41.50,3330.78,7,Zambia
31.73,8.04,59.11,62.22,35.40,2758.78,7,Zimbabwe
